Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
363,2/20/2020 0:55,635432187.1,6089.779,-19.44,31.46,334774,37.742,424761.4,-99.99,424762.6,-99.99,424763.8,-99.99,425.36,-9.99,425.36,-9.99,425.36,-9.99,7.2327E+25,9.9,152.073,22.993
362,2/20/2020 0:55,635432180.4,6090.118,-19.45,31.64,337743,38.077,409501.8,-99.99,409502.9,-99.99,409504.1,-99.99,422.76,-9.99,422.76,-9.99,422.76,-9.99,7.01582E+25,9.9,152.069,22.981
361,2/20/2020 0:55,635432173.8,6090.439,-19.47,31.82,340555,38.394,395478,-99.99,395479.2,-99.99,395480.4,-99.99,420.35,-9.99,420.35,-9.99,420.35,-9.99,6.81441E+25,9.9,152.066,22.97
360,2/20/2020 0:55,635432168.8,6090.74,-19.48,31.95,343191,38.691,382694.5,-99.99,382695.6,-99.99,382696.8,-99.99,417.96,-9.99,417.96,-9.99,417.96,-9.99,6.63181E+25,9.9,152.063,22.961
359,2/20/2020 0:54,635432164.6,6091.03,-19.49,32.06,345730,38.977,370704.5,-99.99,370705.6,-99.99,370706.8,-99.99,415.67,-9.99,415.68,-9.99,415.68,-9.99,6.45936E+25,9.9,152.06,22.953
357,2/20/2020 0:54,635432156.3,6091.59,-19.5,32.29,350633,39.53,348439.1,-99.99,348440.3,-99.99,348441.5,-99.99,411.52,-9.99,411.52,-9.99,411.53,-9.99,6.13262E+25,9.9,152.056,22.938
358,2/20/2020 0:54,635432160.5,6091.314,-19.5,32.17,348217,39.258,359267.8,-99.99,359269,-99.99,359270.2,-99.99,413.52,-9.99,413.52,-9.99,413.53,-9.99,6.29264E+25,9.9,152.058,22.946
356,2/20/2020 0:54,635432152.5,6091.858,-19.51,32.39,352979,39.795,338189.6,-99.99,338190.7,-99.99,338191.9,-99.99,409.59,-9.99,409.59,-9.99,409.6,-9.99,5.98029E+25,9.9,152.054,22.932
354,2/20/2020 0:54,635432145.3,6092.374,-19.52,32.58,357496,40.304,319175.1,-99.99,319176.3,-99.99,319177.5,-99.99,406.05,-9.99,406.05,-9.99,406.05,-9.99,5.69333E+25,9.9,152.05,22.919
355,2/20/2020 0:54,635432148.9,6092.119,-19.52,32.48,355264,40.052,328454.5,-99.99,328455.7,-99.99,328456.9,-99.99,407.77,-9.99,407.77,-9.99,407.77,-9.99,5.83408E+25,9.9,152.052,22.925
353,2/20/2020 0:54,635432141.6,6092.622,-19.53,32.68,359666,40.548,310366.6,-99.99,310367.8,-99.99,310368.9,-99.99,404.39,-9.99,404.39,-9.99,404.39,-9.99,5.55892E+25,9.9,152.048,22.912
351,2/20/2020 0:54,635432135.7,6093.088,-19.54,32.84,363744,41.008,294372.6,-99.99,294373.8,-99.99,294374.9,-99.99,400.96,-9.99,400.96,-9.99,400.96,-9.99,5.31752E+25,9.9,152.045,22.902
352,2/20/2020 0:54,635432138,6092.861,-19.54,32.77,361758,40.784,302074.7,-99.99,302075.8,-99.99,302077,-99.99,402.69,-9.99,402.69,-9.99,402.7,-9.99,5.43318E+25,9.9,152.046,22.906
348,2/20/2020 0:54,635432128.8,6093.754,-19.55,33.02,369571,41.665,272723,-99.99,272724.2,-99.99,272725.3,-99.99,396.23,-9.99,396.23,-9.99,396.23,-9.99,4.98526E+25,9.9,152.041,22.889
349,2/20/2020 0:54,635432131.1,6093.535,-19.55,32.96,367655,41.449,279687.6,-99.99,279688.8,-99.99,279689.9,-99.99,397.72,-9.99,397.72,-9.99,397.72,-9.99,5.09342E+25,9.9,152.043,22.893
350,2/20/2020 0:54,635432133.4,6093.313,-19.55,32.9,365713,41.23,286901.5,-99.99,286902.7,-99.99,286903.9,-99.99,399.29,-9.99,399.29,-9.99,399.3,-9.99,5.20423E+25,9.9,152.044,22.898
346,2/20/2020 0:54,635432124.2,6094.183,-19.56,33.14,373324,42.088,259509.7,-99.99,259510.9,-99.99,259512,-99.99,393.4,-9.99,393.4,-9.99,393.4,-9.99,4.7779E+25,9.9,152.039,22.881
347,2/20/2020 0:54,635432126.5,6093.97,-19.56,33.08,371461,41.878,265999.8,-99.99,266000.9,-99.99,266002.1,-99.99,394.8,-9.99,394.8,-9.99,394.8,-9.99,4.87996E+25,9.9,152.04,22.885
343,2/20/2020 0:54,635432118.4,6094.793,-19.57,33.3,378659,42.69,241669.2,-99.99,241670.4,-99.99,241671.6,-99.99,389.29,-9.99,389.29,-9.99,389.29,-9.99,4.49637E+25,9.9,152.036,22.871
344,2/20/2020 0:54,635432120.1,6094.593,-19.57,33.25,376910,42.493,247399.4,-99.99,247400.6,-99.99,247401.8,-99.99,390.66,-9.99,390.66,-9.99,390.66,-9.99,4.58687E+25,9.9,152.037,22.874
345,2/20/2020 0:54,635432121.9,6094.39,-19.57,33.2,375135,42.292,253333.5,-99.99,253334.7,-99.99,253335.9,-99.99,392.07,-9.99,392.07,-9.99,392.08,-9.99,4.67994E+25,9.9,152.038,22.877
339,2/20/2020 0:54,635432111.6,6095.574,-19.58,33.48,385488,43.46,220376.8,-99.99,220378,-99.99,220379.2,-99.99,384.57,-9.99,384.57,-9.99,384.58,-9.99,4.15052E+25,9.9,152.033,22.859
340,2/20/2020 0:54,635432113.3,6095.381,-19.58,33.43,383801,43.269,225480,-99.99,225481.2,-99.99,225482.4,-99.99,385.68,-9.99,385.68,-9.99,385.68,-9.99,4.23442E+25,9.9,152.034,22.862
341,2/20/2020 0:54,635432115,6095.187,-19.58,33.39,382105,43.078,230713.8,-99.99,230714.9,-99.99,230716.1,-99.99,386.81,-9.99,386.81,-9.99,386.81,-9.99,4.32008E+25,9.9,152.035,22.865
342,2/20/2020 0:54,635432116.7,6094.991,-19.58,33.34,380391,42.885,236108.7,-99.99,236109.9,-99.99,236111.1,-99.99,388.01,-9.99,388.01,-9.99,388.01,-9.99,4.40742E+25,9.9,152.035,22.868
336,2/20/2020 0:53,635432106.5,6096.138,-19.59,33.61,390419,44.016,206043.6,-99.99,206044.8,-99.99,206045.9,-99.99,381.58,-9.99,381.58,-9.99,381.58,-9.99,3.911E+25,9.9,152.031,22.85
337,2/20/2020 0:53,635432108.2,6095.953,-19.59,33.57,388802,43.833,210651.2,-99.99,210652.4,-99.99,210653.6,-99.99,382.53,-9.99,382.53,-9.99,382.54,-9.99,3.9885E+25,9.9,152.031,22.853
338,2/20/2020 0:54,635432109.9,6095.764,-19.59,33.52,387150,43.647,215452.6,-99.99,215453.8,-99.99,215455,-99.99,383.56,-9.99,383.56,-9.99,383.56,-9.99,4.06849E+25,9.9,152.032,22.856
332,2/20/2020 0:53,635432100.2,6096.861,-19.6,33.78,396738,44.728,188886.8,-99.99,188887.9,-99.99,188889.1,-99.99,378.12,-9.99,378.12,-9.99,378.12,-9.99,3.61817E+25,9.9,152.028,22.839
333,2/20/2020 0:53,635432102.1,6096.682,-19.6,33.73,395174,44.552,193010.2,-99.99,193011.4,-99.99,193012.5,-99.99,378.86,-9.99,378.86,-9.99,378.87,-9.99,3.68989E+25,9.9,152.028,22.842
334,2/20/2020 0:53,635432103.6,6096.501,-19.6,33.69,393592,44.373,197262.4,-99.99,197263.6,-99.99,197264.7,-99.99,379.72,-9.99,379.72,-9.99,379.72,-9.99,3.76267E+25,9.9,152.029,22.845
335,2/20/2020 0:53,635432105,6096.32,-19.6,33.65,392010,44.195,201598.3,-99.99,201599.5,-99.99,201600.7,-99.99,380.63,-9.99,380.63,-9.99,380.63,-9.99,3.83621E+25,9.9,152.03,22.847
326,2/20/2020 0:53,635432093.3,6097.861,-19.61,33.96,405476,45.713,167240.9,-99.99,167242,-99.99,167243.2,-99.99,372.13,-9.99,372.13,-9.99,372.13,-9.99,3.2551E+25,9.9,152.024,22.826
327,2/20/2020 0:53,635432094.3,6097.697,-19.61,33.94,404044,45.552,170635.4,-99.99,170636.6,-99.99,170637.8,-99.99,372.97,-9.99,372.98,-9.99,372.98,-9.99,3.31364E+25,9.9,152.025,22.828
