Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1,3/23/2020 12:27,638238510.2,6146.574,-40.28,115.75,827686,93.313,5.32,-99.99,6.46,-99.99,7.59,-99.99,140,-9.99,170,-9.99,200,-9.99,2.75025E+21,9.9,137.109,0.095
2,3/23/2020 12:27,638238510.3,6145.89,-40.28,115.75,821804,92.65,6.65,-99.99,7.79,-99.99,8.93,-99.99,136.27,-9.99,159.62,-9.99,182.97,-9.99,3.53365E+21,9.9,137.106,0.095
3,3/23/2020 12:27,638238510.4,6145.207,-40.28,115.75,815930,91.987,8.34,-99.99,9.48,-99.99,10.61,-99.99,136.26,-9.99,154.88,-9.99,173.5,-9.99,4.4309E+21,9.9,137.103,0.095
4,3/23/2020 12:27,638238510.5,6144.532,-40.29,115.75,810122,91.333,10.43,-99.99,11.57,-99.99,12.71,-99.99,135.81,-9.99,150.65,-9.99,165.48,-9.99,5.56175E+21,9.9,137.101,0.095
5,3/23/2020 12:27,638238510.6,6143.859,-40.29,115.75,804331,90.68,13.04,-99.99,14.18,-99.99,15.32,-99.99,136.25,-9.99,148.15,-9.99,160.06,-9.99,6.9311E+21,9.9,137.098,0.095
6,3/23/2020 12:27,638238510.7,6143.187,-40.29,115.75,798547,90.028,16.25,-99.99,17.39,-99.99,18.53,-99.99,138.8,-9.99,148.53,-9.99,158.26,-9.99,8.48128E+21,9.9,137.095,0.095
7,3/23/2020 12:27,638238510.8,6142.513,-40.3,115.75,792744,89.373,20.15,-99.99,21.29,-99.99,22.43,-99.99,143.67,-9.99,151.79,-9.99,159.91,-9.99,1.01605E+22,9.9,137.092,0.095
8,3/23/2020 12:27,638238510.9,6141.866,-40.3,115.75,787173,88.745,24.69,-99.99,25.83,-99.99,26.97,-99.99,144.02,-9.99,150.66,-9.99,157.31,-9.99,1.24177E+22,9.9,137.09,0.095
9,3/23/2020 12:27,638238511,6141.203,-40.3,115.75,781463,88.101,30.33,-99.99,31.47,-99.99,32.61,-99.99,146.82,-9.99,152.34,-9.99,157.85,-9.99,1.49625E+22,9.9,137.087,0.095
10,3/23/2020 12:27,638238511.1,6140.556,-40.3,115.75,775889,87.473,36.93,-99.99,38.07,-99.99,39.21,-99.99,149.64,-9.99,154.26,-9.99,158.87,-9.99,1.78764E+22,9.9,137.084,0.095
11,3/23/2020 12:27,638238511.2,6139.916,-40.31,115.74,770375,86.851,44.72,-99.99,45.86,-99.99,47,-99.99,152.15,-9.99,156.03,-9.99,159.9,-9.99,2.12888E+22,9.9,137.082,0.096
