Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
24,4/14/2020 10:11,640131171,6142.056,-68.98,157.19,788809,88.93,24.7,-99.99,25.93,-99.99,27.16,-99.99,149.2,-9.99,156.63,-9.99,164.06,-9.99,1.19912E+22,9.9,106.104,1.867
25,4/14/2020 10:11,640131171,6141.881,-68.99,157.19,787302,88.76,26.04,-99.99,27.27,-99.99,28.5,-99.99,149.33,-9.99,156.38,-9.99,163.44,-9.99,1.26298E+22,9.9,106.101,1.867
26,4/14/2020 10:11,640131171.1,6141.661,-68.99,157.19,785408,88.546,27.81,-99.99,29.04,-99.99,30.27,-99.99,151.53,-9.99,158.23,-9.99,164.94,-9.99,1.32928E+22,9.9,106.099,1.867
27,4/14/2020 10:11,640131171.2,6141.486,-68.99,157.19,783901,88.376,29.29,-99.99,30.52,-99.99,31.75,-99.99,152.08,-9.99,158.47,-9.99,164.86,-9.99,1.39498E+22,9.9,106.096,1.867
28,4/14/2020 10:11,640131171.2,6141.271,-68.99,157.19,782049,88.168,31.2,-99.99,32.43,-99.99,33.66,-99.99,154.12,-9.99,160.19,-9.99,166.27,-9.99,1.46646E+22,9.9,106.093,1.867
29,4/14/2020 10:11,640131171.3,6141.072,-69,157.18,780335,87.974,33.06,-99.99,34.29,-99.99,35.52,-99.99,156.28,-9.99,162.1,-9.99,167.91,-9.99,1.53201E+22,9.9,106.091,1.868
30,4/14/2020 10:11,640131171.4,6140.894,-69,157.18,778801,87.801,34.79,-99.99,36.02,-99.99,37.25,-99.99,156.99,-9.99,162.54,-9.99,168.09,-9.99,1.60509E+22,9.9,106.088,1.868
31,4/14/2020 10:11,640131171.4,6140.683,-69,157.18,776984,87.596,36.95,-99.99,38.18,-99.99,39.41,-99.99,159.02,-9.99,164.32,-9.99,169.61,-9.99,1.68278E+22,9.9,106.085,1.868
32,4/14/2020 10:11,640131171.5,6140.464,-69,157.18,775097,87.384,39.28,-99.99,40.51,-99.99,41.74,-99.99,162.59,-9.99,167.68,-9.99,172.77,-9.99,1.74994E+22,9.9,106.082,1.868
33,4/14/2020 10:11,640131171.6,6140.27,-69.01,157.18,773425,87.195,41.43,-99.99,42.66,-99.99,43.89,-99.99,165.24,-9.99,170.14,-9.99,175.05,-9.99,1.81613E+22,9.9,106.08,1.868
34,4/14/2020 10:11,640131171.6,6140.106,-69.01,157.17,772012,87.036,43.32,-99.99,44.55,-99.99,45.78,-99.99,165.68,-9.99,170.38,-9.99,175.09,-9.99,1.89399E+22,9.9,106.077,1.868
35,4/14/2020 10:11,640131171.7,6139.904,-69.01,157.17,770272,86.84,45.76,-99.99,46.99,-99.99,48.22,-99.99,166.99,-9.99,171.48,-9.99,175.97,-9.99,1.98468E+22,9.9,106.074,1.868
36,4/14/2020 10:11,640131171.8,6139.732,-69.02,157.17,768789,86.673,47.93,-99.99,49.16,-99.99,50.39,-99.99,167.51,-9.99,171.81,-9.99,176.11,-9.99,2.07229E+22,9.9,106.071,1.869
37,4/14/2020 10:11,640131171.8,6139.573,-69.02,157.17,767419,86.518,50.02,-99.99,51.25,-99.99,52.48,-99.99,166.79,-9.99,170.89,-9.99,175,-9.99,2.17232E+22,9.9,106.069,1.869
38,4/14/2020 10:11,640131171.9,6139.391,-69.02,157.16,765850,86.341,52.55,-99.99,53.78,-99.99,55.01,-99.99,166.44,-9.99,170.33,-9.99,174.23,-9.99,2.28678E+22,9.9,106.066,1.869
39,4/14/2020 10:11,640131172,6139.213,-69.02,157.16,764316,86.168,55.14,-99.99,56.37,-99.99,57.6,-99.99,166.32,-9.99,170.04,-9.99,173.75,-9.99,2.40128E+22,9.9,106.063,1.869
40,4/14/2020 10:11,640131172,6139.024,-69.03,157.16,762687,85.985,58.03,-99.99,59.26,-99.99,60.49,-99.99,166.77,-9.99,170.3,-9.99,173.84,-9.99,2.52045E+22,9.9,106.06,1.869
41,4/14/2020 10:11,640131172.1,6138.831,-69.03,157.16,761024,85.797,61.13,-99.99,62.36,-99.99,63.59,-99.99,167.85,-9.99,171.23,-9.99,174.61,-9.99,2.6377E+22,9.9,106.058,1.869
42,4/14/2020 10:11,640131172.2,6138.636,-69.03,157.16,759342,85.608,64.4,-99.99,65.63,-99.99,66.86,-99.99,169.4,-9.99,172.63,-9.99,175.87,-9.99,2.75341E+22,9.9,106.055,1.869
