Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1,6/8/2020 19:48,644917758.6,6146.54,-46.55,254.65,827394,93.28,6.17,-99.99,7.49,-99.99,8.81,-99.99,140,-9.99,170,-9.99,200,-9.99,3.19021E+21,9.9,82.949,6.762
2,6/8/2020 19:48,644917758.6,6146.185,-46.56,254.65,824342,92.936,6.91,-99.99,8.23,-99.99,9.55,-99.99,140.28,-9.99,167.1,-9.99,193.93,-9.99,3.56754E+21,9.9,82.949,6.762
3,6/8/2020 19:48,644917758.7,6145.833,-46.56,254.65,821314,92.594,7.74,-99.99,9.06,-99.99,10.38,-99.99,139.64,-9.99,163.49,-9.99,187.34,-9.99,4.01357E+21,9.9,82.949,6.762
4,6/8/2020 19:48,644917758.8,6145.477,-46.56,254.65,818252,92.249,8.68,-99.99,10,-99.99,11.32,-99.99,139.8,-9.99,161.08,-9.99,182.37,-9.99,4.49607E+21,9.9,82.95,6.762
5,6/8/2020 19:48,644917758.8,6145.12,-46.56,254.65,815181,91.903,9.73,-99.99,11.05,-99.99,12.37,-99.99,141.3,-9.99,160.5,-9.99,179.69,-9.99,4.98647E+21,9.9,82.95,6.762
6,6/8/2020 19:48,644917758.9,6144.767,-46.56,254.65,812144,91.56,10.88,-99.99,12.2,-99.99,13.52,-99.99,142.78,-9.99,160.12,-9.99,177.47,-9.99,5.51857E+21,9.9,82.95,6.762
7,6/8/2020 19:48,644917759,6144.408,-46.57,254.65,809055,91.212,12.17,-99.99,13.49,-99.99,14.81,-99.99,145.66,-9.99,161.48,-9.99,177.3,-9.99,6.04986E+21,9.9,82.951,6.762
8,6/8/2020 19:48,644917759,6144.062,-46.57,254.65,806078,90.877,13.53,-99.99,14.86,-99.99,16.18,-99.99,146.92,-9.99,161.27,-9.99,175.61,-9.99,6.67179E+21,9.9,82.951,6.762
9,6/8/2020 19:48,644917759.1,6143.712,-46.57,254.65,803066,90.537,15.06,-99.99,16.38,-99.99,17.7,-99.99,148.03,-9.99,161.02,-9.99,174.01,-9.99,7.36757E+21,9.9,82.951,6.762
10,6/8/2020 19:48,644917759.2,6143.364,-46.57,254.65,800071,90.199,16.73,-99.99,18.05,-99.99,19.37,-99.99,149.28,-9.99,161.07,-9.99,172.86,-9.99,8.118E+21,9.9,82.951,6.762
11,6/8/2020 19:48,644917759.2,6143.012,-46.57,254.65,797040,89.858,18.59,-99.99,19.91,-99.99,21.23,-99.99,151.47,-9.99,162.24,-9.99,173,-9.99,8.88962E+21,9.9,82.952,6.762
12,6/8/2020 19:48,644917759.3,6142.67,-46.58,254.65,794096,89.526,20.57,-99.99,21.89,-99.99,23.21,-99.99,152.66,-9.99,162.46,-9.99,172.27,-9.99,9.75973E+21,9.9,82.952,6.762
13,6/8/2020 19:48,644917759.4,6142.327,-46.58,254.65,791143,89.193,22.75,-99.99,24.07,-99.99,25.39,-99.99,153.7,-9.99,162.63,-9.99,171.55,-9.99,1.07215E+22,9.9,82.952,6.762
14,6/8/2020 19:48,644917759.4,6141.983,-46.58,254.65,788181,88.859,25.15,-99.99,26.47,-99.99,27.79,-99.99,155.11,-9.99,163.26,-9.99,171.41,-9.99,1.17447E+22,9.9,82.953,6.762
15,6/8/2020 19:48,644917759.5,6141.647,-46.58,254.65,785287,88.533,27.72,-99.99,29.04,-99.99,30.36,-99.99,156.03,-9.99,163.47,-9.99,170.91,-9.99,1.28681E+22,9.9,82.953,6.762
16,6/8/2020 19:48,644917759.6,6141.306,-46.58,254.65,782350,88.201,30.58,-99.99,31.9,-99.99,33.22,-99.99,157.22,-9.99,164.01,-9.99,170.8,-9.99,1.40867E+22,9.9,82.953,6.762
17,6/8/2020 19:48,644917759.6,6140.969,-46.59,254.65,779447,87.874,33.66,-99.99,34.98,-99.99,36.3,-99.99,158.56,-9.99,164.79,-9.99,171.01,-9.99,1.53758E+22,9.9,82.954,6.762
18,6/8/2020 19:48,644917759.7,6140.637,-46.59,254.65,776587,87.552,36.98,-99.99,38.3,-99.99,39.62,-99.99,159.6,-9.99,165.3,-9.99,171.01,-9.99,1.67816E+22,9.9,82.954,6.762
19,6/8/2020 19:48,644917759.8,6140.294,-46.59,254.65,773632,87.219,40.71,-99.99,42.03,-99.99,43.35,-99.99,161.71,-9.99,166.96,-9.99,172.2,-9.99,1.82346E+22,9.9,82.954,6.762
20,6/8/2020 19:48,644917759.8,6139.967,-46.59,254.65,770814,86.901,44.57,-99.99,45.9,-99.99,47.22,-99.99,163.24,-9.99,168.07,-9.99,172.91,-9.99,1.97779E+22,9.9,82.955,6.762
21,6/8/2020 19:48,644917759.9,6139.647,-46.59,254.65,768057,86.59,48.68,-99.99,50,-99.99,51.32,-99.99,163.97,-9.99,168.42,-9.99,172.87,-9.99,2.15028E+22,9.9,82.955,6.762
22,6/8/2020 19:48,644917760,6139.329,-46.6,254.65,765316,86.281,53.12,-99.99,54.44,-99.99,55.76,-99.99,164.3,-9.99,168.39,-9.99,172.48,-9.99,2.34166E+22,9.9,82.955,6.762
23,6/8/2020 19:48,644917760,6139.014,-46.6,254.65,762601,85.975,57.91,-99.99,59.23,-99.99,60.55,-99.99,164.5,-9.99,168.25,-9.99,172,-9.99,2.54975E+22,9.9,82.955,6.762
24,6/8/2020 19:48,644917760.1,6138.7,-46.6,254.65,759894,85.67,63.11,-99.99,64.43,-99.99,65.75,-99.99,164.85,-9.99,168.3,-9.99,171.75,-9.99,2.77263E+22,9.9,82.956,6.762
25,6/8/2020 19:48,644917760.2,6138.379,-46.6,254.65,757127,85.358,68.87,-99.99,70.2,-99.99,71.52,-99.99,165.88,-9.99,169.07,-9.99,172.25,-9.99,3.00726E+22,9.9,82.956,6.762
26,6/8/2020 19:48,644917760.2,6138.049,-46.6,254.65,754282,85.037,75.29,-99.99,76.61,-99.99,77.93,-99.99,167.98,-9.99,170.92,-9.99,173.87,-9.99,3.24645E+22,9.9,82.956,6.762
27,6/8/2020 19:48,644917760.3,6137.741,-46.61,254.65,751626,84.738,81.75,-99.99,83.07,-99.99,84.39,-99.99,169.56,-9.99,172.3,-9.99,175.04,-9.99,3.49181E+22,9.9,82.957,6.762
28,6/8/2020 19:48,644917760.3,6137.452,-46.61,254.65,749134,84.457,88.27,-99.99,89.59,-99.99,90.91,-99.99,169.96,-9.99,172.5,-9.99,175.05,-9.99,3.76148E+22,9.9,82.957,6.762
29,6/8/2020 19:48,644917760.4,6137.161,-46.61,254.65,746624,84.174,95.35,-99.99,96.67,-99.99,97.99,-99.99,170.04,-9.99,172.4,-9.99,174.76,-9.99,4.06123E+22,9.9,82.957,6.762
