Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1,3/12/2020 16:38,637303170.3,6146.124,-33.71,89.82,823817,92.876,6.56,-99.99,7.97,-99.99,9.38,-99.99,140,-9.99,170,-9.99,200,-9.99,3.39615E+21,9.9,143.482,23.581
2,3/12/2020 16:38,637303170.4,6145.365,-33.71,89.82,817289,92.14,8.36,-99.99,9.77,-99.99,11.18,-99.99,142.73,-9.99,166.74,-9.99,190.74,-9.99,4.24401E+21,9.9,143.481,23.581
3,3/12/2020 16:38,637303170.5,6144.612,-33.72,89.82,810811,91.41,10.63,-99.99,12.04,-99.99,13.44,-99.99,140.83,-9.99,159.47,-9.99,178.1,-9.99,5.46771E+21,9.9,143.479,23.581
4,3/12/2020 16:38,637303170.6,6143.858,-33.72,89.82,804322,90.679,13.53,-99.99,14.94,-99.99,16.35,-99.99,141.38,-9.99,156.07,-9.99,170.77,-9.99,6.9333E+21,9.9,143.477,23.581
5,3/12/2020 16:38,637303170.7,6143.104,-33.72,89.82,797832,89.947,17.16,-99.99,18.57,-99.99,19.98,-99.99,144.96,-9.99,156.84,-9.99,168.73,-9.99,8.57556E+21,9.9,143.475,23.581
6,3/12/2020 16:38,637303170.8,6142.362,-33.72,89.82,791444,89.227,21.59,-99.99,23,-99.99,24.4,-99.99,146.98,-9.99,156.55,-9.99,166.13,-9.99,1.06397E+22,9.9,143.474,23.581
7,3/12/2020 16:38,637303170.9,6141.625,-33.72,89.82,785098,88.511,27.05,-99.99,28.46,-99.99,29.87,-99.99,148.11,-9.99,155.81,-9.99,163.51,-9.99,1.32305E+22,9.9,143.472,23.581
8,3/12/2020 16:38,637303171,6140.87,-33.72,89.82,778594,87.778,33.87,-99.99,35.28,-99.99,36.68,-99.99,155.02,-9.99,161.46,-9.99,167.9,-9.99,1.58243E+22,9.9,143.47,23.581
9,3/12/2020 16:38,637303171.1,6140.147,-33.73,89.82,772365,87.076,41.71,-99.99,43.12,-99.99,44.52,-99.99,158.35,-9.99,163.69,-9.99,169.03,-9.99,1.90788E+22,9.9,143.469,23.582
10,3/12/2020 16:38,637303171.2,6139.431,-33.73,89.82,766195,86.38,51.13,-99.99,52.53,-99.99,53.94,-99.99,159.42,-9.99,163.81,-9.99,168.19,-9.99,2.32285E+22,9.9,143.467,23.582
11,3/12/2020 16:38,637303171.3,6138.705,-33.73,89.82,759937,85.675,62.65,-99.99,64.06,-99.99,65.46,-99.99,163.08,-9.99,166.74,-9.99,170.4,-9.99,2.7825E+22,9.9,143.465,23.582
